illnessName,instGovernedBy,isTypeOf,relatedTo,subRelatedTo
Lymphoma,National Cancer Institute,Cancers,Lymphoma,"[u'Adult T-Cell Leukemia/Lymphoma (HTLV-1)', u'Anaplastic Large Cell Lymphoma', u'Angioimmunoblastic T-Cell Lymphoma', u'Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma (CLL/SLL)', u'Diffuse Large B-cell Lymphoma in Adults (Beyond the Basics)', u'Follicular Lymphoma in Adults (Beyond the Basics)', u'General Information about AIDS-Related Lymphoma', u'General Information about Mycosis Fungoides and the Sezary Syndrome', u'General Information about Primary CNS Lymphoma', u'Mantle Cell Lymphoma', u'Marginal Zone Lymphoma', u'Peripheral T-Cell Lymphoma', u'T-Cell Lymphoma', u'What Is Waldenstrom Macroglobulinema?', u'24-hour urine protein', u'ACE blood test', u'After chemotherapy - discharge', u'B and T cell screen', u'B-cell leukemia/lymphoma panel', u'Bone marrow transplant', u'Bone marrow transplant - discharge', u'Bone-marrow transplant  - slideshow', u'Burkitt lymphoma', u'Chest radiation - discharge', u'Cryoglobulins', u'Cytology exam of pleural fluid', u'Immunofixation - blood', u'Immunofixation - urine', u'Lymph node biopsy', u'Lymphangiogram', u'Macroglobulinemia of Waldenstrom', u'Mediastinal tumor', u'Mediastinoscopy with biopsy', u'Non-Hodgkin lymphoma', u'Non-Hodgkin lymphoma - children', u'Quantitative nephelometry', u'Serum globulin electrophoresis', u'T-cell count', u'Hodgkin Disease']"
Melanoma,National Cancer Institute,Cancers,Melanoma,"[u'General Information about Intraocular (Uveal) Melanoma', u'Malignant Melanoma of the Foot', u'Ocular Melanoma', u'After chemotherapy - discharge', u'Melanoma', u'Melanoma of the eye', u'Urine melanin', u'Skin Cancer']"
Mesothelioma,National Cancer Institute,Cancers,Mesothelioma,"[u'Peritoneal Mesothelioma', u'Abdominal radiation - discharge', u'After chemotherapy - discharge', u'Chest radiation - discharge', u'Mesothelioma - benign-fibrous', u'Mesothelioma - malignant', u'Radiation enteritis', u'Asbestos']"
Mouth Cancer,National Cancer Institute,Cancers,Oral Cancer,"[u'Adenoid Cystic Carcinoma', u'General Information about Lip and Oral Cavity Cancer', u'After chemotherapy - discharge', u'Gum biopsy', u'Leukoplakia', u'Mouth and neck radiation - discharge', u'Oral cancer', u'Oropharynx lesion biopsy', u'Swallowing problems', u'Tongue biopsy', u'Mouth Disorders', u'Salivary Gland Cancer', u'Throat Cancer']"
Multiple Myeloma,National Cancer Institute,Cancers,Multiple Myeloma,"[u'24-hour urine protein', u'After chemotherapy - discharge', u'B and T cell screen', u'Bence-Jones protein - quantitative', u'Bone marrow transplant', u'Bone marrow transplant - discharge', u'Bone-marrow transplant  - slideshow', u'Cryoglobulins', u'Immunoelectrophoresis - blood', u'Immunoelectrophoresis - urine', u'Immunofixation - blood', u'Immunofixation - urine', u'Multiple myeloma', u'Protein electrophoresis - serum', u'Quantitative nephelometry', u'Serum globulin electrophoresis', u'T-cell count', u'Bone Marrow Diseases', u'Bone Marrow Transplantation', u'Lymphoma']"
Nasal Cancer,National Cancer Institute,Cancers,Nasal Cancer,"[u'Olfactory Neuroblastoma', u'After chemotherapy - discharge', u'Nose Injuries and Disorders']"
Nephroblastoma,National Cancer Institute,Cancers,Wilms Tumor,"[u'After chemotherapy - discharge', u'Wilms tumor', u'Kidney Cancer']"
Neuroblastoma,National Cancer Institute,Cancers,Neuroblastoma,"[u'After chemotherapy - discharge', u'Catecholamine blood test', u'Catecholamines - urine', u'Ganglioneuroblastoma', u'MIBG scintiscan', u'Neuroblastoma', u'Cancer in Children']"
Neurofibromatosis,National Institute of Neurological Disorders and Stroke,Cancers,Neurofibromatosis,"[u'About Neurofibromatosis 1', u'Neurofibromatosis', u'Neurofibromatosis Type 2: Information for Patients and Families', u'Schwannomatosis', u'Segmental NF: A Guide for Patients', u'Vestibular Schwannoma (Acoustic Neuroma) and Neurofibromatosis', u'Neurofibromatosis 2', u'Neurofibromatosis-1', u'Optic glioma']"
Ovarian Cancer,National Cancer Institute,Cancers,Ovarian Cancer,"[u'General Information about Ovarian Epithelial Cancer', u'General Information about Ovarian Germ Cell Tumors', u'General Information about Ovarian Low Malignant Potential Tumors', u'Primary Peritoneal Cancer', u'Abdominal exploration', u'Abdominal exploration  - slideshow', u'Abdominal radiation - discharge', u'Abdominal tap', u'After chemotherapy - discharge', u'Alpha fetoprotein', u'Arrhenoblastoma of ovary', u'BRCA1 and BRCA2 gene testing', u'CA-125 blood test', u'Diagnostic laparoscopy', u'Estradiol blood test', u'Ovarian cancer', u'Pelvic (between the hips) radiation - discharge', u'Pelvis MRI scan', u'Radiation enteritis', u'Sertoli-Leydig cell tumor', u'Transvaginal ultrasound', u'Ovarian Disorders']"
Parotid Gland Cancer,National Cancer Institute,Cancers,Salivary Gland Cancer,"[u'Adenoid Cystic Carcinoma', u'After chemotherapy - discharge', u'Salivary gland biopsy', u'Salivary gland tumors', u'Sialogram', u'Swallowing problems', u'Salivary Gland Disorders']"
Pheochromocytoma,National Cancer Institute,Cancers,Pheochromocytoma,"[u'Adrenalectomy', u'Catecholamine blood test', u'Catecholamines - urine', u'MIBG scintiscan', u'Pheochromocytoma', u'Adrenal Gland Disorders']"
Pituitary Tumors,National Cancer Institute,Cancers,Pituitary Tumors,"[u'Prolactinoma', u'ACTH blood test', u'Craniopharyngioma', u'Head MRI', u'Pituitary gland', u'Pituitary infarction', u'Pituitary tumor', u'Prolactin blood test', u'Prolactinoma', u'Stereotactic radiosurgery - discharge', u'Pituitary Disorders']"
Prostate Cancer,National Cancer Institute,Cancers,Prostate Cancer,"[u'After chemotherapy - discharge', u'Cryotherapy for prostate cancer', u'Digital rectal exam', u'Gleason grading system', u'Hormone therapy for prostate cancer', u'Pelvic (between the hips) radiation - discharge', u'Pelvic CT scan', u'Pelvis MRI scan', u'Prostate brachytherapy', u'Prostate brachytherapy - discharge', u'Prostate cancer', u'Prostate cancer - treatment', u'Prostate cancer staging', u'Prostate radiation - discharge', u'Prostatectomy  - slideshow', u'Radical prostatectomy', u'Radical prostatectomy - discharge', u'Understanding your prostate cancer risk', u'Prostate Cancer Screening', u'Prostate Diseases']"
Prostate Cancer Screening,National Cancer Institute,Cancers,Prostate Cancer Screening,"[u'Digital Rectal Exam (DRE)', u'Prostate Cancer Screening: Should You Get a PSA Test?', u'Prostate-Specific Antigen (PSA) Test', u""PSA Test: What's It for?"", u'What Tests Can Detect Prostate Cancer?', u'Digital rectal exam', u'Prostate biopsy', u'Prostate cancer screenings', u'PSA', u'Prostate Cancer']"
Rhabdomyosarcoma,National Cancer Institute,Cancers,Soft Tissue Sarcoma,"[u'What Is Rhabdomyosarcoma?', u'Adult soft tissue sarcoma', u'After chemotherapy - discharge', u'Rhabdomyosarcoma', u'Synovial biopsy', u""Kaposi's Sarcoma""]"
Seminoma,National Cancer Institute,Cancers,Testicular Cancer,"[u'Extragonadal Germ Cell Cancer (EGC)', u'Scrotal Masses', u'After chemotherapy - discharge', u'Alpha fetoprotein', u'Leydig cell tumor', u'Pelvis MRI scan', u'Scrotal ultrasound', u'Testicle lump', u'Testicular biopsy', u'Testicular cancer', u'Testicular self-examination', u'Testicular Disorders']"
Thymus Cancer,National Cancer Institute,Cancers,Thymus Cancer,"[u'Thymoma', u'Chest radiation - discharge', u'Mediastinal tumor']"
Thyroid Cancer,National Cancer Institute,Cancers,Thyroid Cancer,"[u'Hurthle Cell Cancer', u'After chemotherapy - discharge', u'Anaplastic thyroid cancer', u'Calcitonin blood test', u'Fine needle aspiration of the thyroid', u'Medullary carcinoma of thyroid', u'Thyroid cancer', u'Thyroid cancer - papillary carcinoma', u'Thyroid gland removal', u'Thyroid scan', u'Thyroid ultrasound', u'Thyroidectomy  - slideshow', u'Thyroid Diseases', u'Thyroid Tests']"
Vaginal Cancer,National Cancer Institute,Cancers,Vaginal Cancer,"[u'After chemotherapy - discharge', u'Pelvic (between the hips) radiation - discharge', u'Pelvic CT scan', u'Vaginal tumors', u'Vaginal Diseases', u'Vulvar Cancer']"
Vulvar Cancer,National Cancer Institute,Cancers,Vulvar Cancer,"[u'Do We Know What Causes Vulvar Cancer?', u'What Should You Ask Your Doctor about Vulvar Cancer?', u'After chemotherapy - discharge', u'Cancer - vulva', u'Pelvic (between the hips) radiation - discharge', u'Vaginal Cancer', u'Vaginal Diseases', u'Vulvar Disorders']"
