id,illnessName,instGovernedBy,isTypeOf,relatedTo,subRelatedTo
85,Achondroplasia,National Institute of Child Health and Human Development,Genetics/Birth Defects,Dwarfism,"[u'Ellis-Van Creveld Dysplasia', u'Hypochondroplasia', u'Primordial Dwarfism', u'Achondrogenesis', u'Achondroplasia', u'Ellis-van Creveld syndrome', u'Growth Disorders']"
86,Adrenoleukodystrophy,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Leukodystrophies,"[u'4H Syndrome', u'Adrenoleukodystrophy', u'Adrenoleukodystrophy (ALD)', u'Adrenomyeloneuropathy (AMN)', u'Aicardi-Goutieres Syndrome Disorder', u'Alexander Disease', u'CADASIL', u'Canavan Disease', u'Cerebral Autosomal Dominant Arteriopathy with Subcortical Infacts and Leukoencephalopathy (CADASIL)', u'Cerebrotendinous Xanthomatosis (CTX)', u'Krabbe Disease', u'Krabbe Disease', u'Megalencephalic Leukoencephalopathy with Subcortical Cysts (MLC)', u'Metachromatic Leukodystrophy', u'Pelizaeus-Merzbacher Disease', u'Refsum Disease', u'Sjogren-Larsson Syndrome', u'Types of Leukodystrophies', u'Vanishing White Matter Disease', u'Zellweger Spectrum', u'Zellweger Syndrome', u'Adrenoleukodystrophy', u'Canavan disease', u'Krabbe disease', u'Metachromatic leukodystrophy', u'Degenerative Nerve Diseases']"
87,Alpha-1 Antitrypsin Deficiency,"National Heart, Lung, and Blood Institute",Genetics/Birth Defects,Alpha-1 Antitrypsin Deficiency,"[u'Alpha-1 antitrypsin deficiency', u'Alpha-1 antitrypsin test', u'COPD']"
88,Amniocentesis,National Institute of Child Health and Human Development,Genetics/Birth Defects,Prenatal Testing,"[u'Amniocentesis', u'Amniotic Fluid Analysis', u'Biophysical Profile', u'Chorionic Villus Sampling (CVS)', u'Cordocentesis', u'Cystic Fibrosis: Prenatal Screening and Diagnosis', u""Fetal Echocardiography/Your Unborn Baby's Heart"", u'Fetal Ultrasound', u'First Trimester Down Syndrome Screen', u'Glucose Tests', u'Group B Streptococcus and Pregnancy', u'Obstetrical Ultrasound', u'Prenatal Cell-Free DNA Screening', u'Prenatal Genetic Diagnostic Tests', u'Prenatal Genetic Screening Tests', u'Prenatal Genetic Testing Chart', u'Prenatal Tests for Down Syndrome', u'Rh Factor Blood Test', u'Second Trimester Maternal Serum Screening', u'Special Tests for Monitoring Fetal Health', u'Alpha fetoprotein', u'Amniocentesis', u'Amniocentesis - slideshow', u'Chorionic villus sampling', u'Chorionic villus sampling - slideshow', u'Fetal echocardiography', u'Fetal-maternal erythrocyte distribution', u'Monitoring your baby before labor', u'Nuchal translucency test', u'Percutaneous umbilical cord blood sampling - slideshow', u'Pregnancy ultrasound', u'Prenatal ultrasound - slideshow', u'Quadruple screen test', u'Fetal Health and Development', u'Genetic Testing', u'Prenatal Care']"
89,Anencephaly,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Neural Tube Defects,"[u'Anencephaly', u'Cephalic Disorders', u'Cephalic Disorders', u'Encephaloceles', u'Facts about Anencephaly', u'Facts about Encephalocele', u'Hydranencephaly', u'Iniencephaly', u'Tethered Spinal Cord Syndrome', u'Alpha fetoprotein', u'Anencephaly', u'Brain Malformations', u'Chiari Malformation', u'Hydrocephalus', u'Spina Bifida']"
90,Arnold-Chiari Malformation,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Chiari Malformation,[]
91,Ataxia,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Friedreich's Ataxia,"[u'Friedreich ataxia', u'Degenerative Nerve Diseases']"
92,Ataxia Telangiectasia,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Ataxia Telangiectasia,[]
93,Blood Coagulation Disorders,"National Heart, Lung, and Blood Institute",Genetics/Birth Defects,Hemophilia,"[u'Factor IX assay', u'Factor VIII assay', u'Hemophilia', u'Hemophilia A', u'Hemophilia B', u'Partial thromboplastin time (PTT)', u'Bleeding Disorders']"
94,"Brain Disorders, Inborn Genetic",National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Genetic Brain Disorders,"[u'Aicardi Syndrome', u""Alpers' Disease"", u'Batten Disease', u'Batten Disease', u'Fabry Disease', u""Fahr's Syndrome"", u'Gerstmann-Straussler-Scheinker Disease', u""Leigh's Disease"", u'Lesch-Nyhan Syndrome', u'Menkes Disease', u'Menkes Disease', u'Moyamoya Disease', u'Niemann-Pick Disease', u'What Is a Urea Cycle Disorder?', u'What Is Batten Disease', u'Zellweger Syndrome', u'Lesch-Nyhan syndrome', u'Maple syrup urine disease', u'Menkes syndrome', u'Neuronal ceroid lipofuscinoses (NCLS)', u'Niemann-Pick disease', u'Amino Acid Metabolism Disorders', u'Carbohydrate Metabolism Disorders', u'Cerebellar Disorders', u'Genetic Disorders', u'Genetic Testing', u'Leukodystrophies', u'Lipid Metabolism Disorders', u'Metabolic Disorders', u'Mitochondrial Diseases', u'Phenylketonuria', u'Tay-Sachs Disease', u'Wilson Disease']"
95,Brain Malformations,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Brain Malformations,"[u'Absence of the Septum Pellucidum', u'Agenesis of the Corpus Callosum', u'Aicardi Syndrome', u'Colpocephaly', u'Dandy-Walker Syndrome', u'Facts about Microcephaly', u'Holoprosencephaly', u'Hydranencephaly', u'Lissencephaly', u'Megalencephaly', u'Microcephaly', u'Microcephaly Information Page', u'Neuronal Migration Disorders', u'Porencephaly', u'Schizencephaly', u'Septo-Optic Dysplasia', u'Aicardi syndrome', u'Brain surgery', u'Brain surgery - discharge', u'Head CT scan', u'Head MRI', u'Increased head circumference', u'Microcephaly', u'Skull x-ray', u'Sutures - separated', u'Birth Defects', u'Brain Diseases', u'Cerebellar Disorders', u'Craniofacial Abnormalities', u'Hydrocephalus', u'Neural Tube Defects']"
96,Cerebral Palsy,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Cerebral Palsy,"[u'Cerebral palsy', u'Swallowing problems']"
97,Charcot-Marie-Tooth Disease,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Charcot-Marie-Tooth Disease,"[u'Types of CMT', u'Charcot-Marie-Tooth disease', u'Degenerative Nerve Diseases', u'Muscle Disorders']"
98,Cleft Lip and Palate,National Institute of Dental and Craniofacial Research,Genetics/Birth Defects,Cleft Lip and Palate,"[u'Learning about Velocardiofacial Syndrome', u'Replacing a Missing Tooth', u'Speech Development', u'Submucous Clefts', u'Aarskog syndrome', u'Cleft lip and palate', u'Cleft lip and palate repair', u'Cleft lip and palate repair - discharge', u'Cleft lip repair  - slideshow']"
99,Cleft Spine,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Spina Bifida,"[u'Frequently Asked Questions about Spina Bifida', u'Spina Bifida Occulta', u'Alpha fetoprotein', u'Meningocele repair', u'Meningocele repair - slideshow', u'Myelomeningocele', u'Chiari Malformation', u'Neural Tube Defects']"
100,Cloning,National Human Genome Research Institute,Genetics/Birth Defects,Cloning,[]
101,Color Blindness,National Eye Institute,Genetics/Birth Defects,Color Blindness,"[u'Achromatopsia', u'Color blindness', u'Color vision test', u'Eye Diseases', u'Vision Impairment and Blindness']"
102,Congenital Heart Defects,"National Heart, Lung, and Blood Institute",Genetics/Birth Defects,Congenital Heart Defects,"[u'Aortic Valve Stenosis', u'Arrhythmogenic Right Ventricular Dysplasia', u'Atrioventricular Canal Defect', u'Coarctation of the Aorta', u'Congenitally Corrected Transposition of the Great Arteries (CCTGA)', u'Coronary Artery Anomalies', u'Cyanosis', u'Double Outlet Right Ventricle', u'Facts about Atrial Septal Defect', u'Facts about Atrioventricular Septal Defect (AVSD)', u'Facts about Coarctation of the Aorta', u'Facts about dextro-Transposition of the Great Arteries (d-TGA)', u'Facts about Hypoplastic Left Heart Syndrome', u'Facts about Pulmonary Atresia', u'Facts about Tetralogy of Fallot', u'Facts about Total Anomalous Pulmonary Venous Return or TAPVR', u'Facts about Truncus Arteriosis', u'Facts about Ventricular Septal Defect', u'Learning about Velocardiofacial Syndrome', u'Patent Foramen Ovale', u""Patient's Guide to Arrhythmogenic Right Ventricular Dysplasia/Cardiomyopathy"", u'Pulmonary Atresia', u'Pulmonary Valve Stenosis', u'Single Ventricle Defects', u'Spontaneous Coronary Artery Dissection', u'Total Anomalous Pulmonary Venous Connection (TAPVC)', u'Transposition of the Greater Arteries (TGA)', u'Tricuspid Atresia', u'Ventricular Septal Defect (VSD)', u'What Are Holes in the Heart?', u'What Is Patent Ductus Arteriosus?', u'What Is Tetralogy of Fallot?', u'Aarskog syndrome', u'Absent pulmonary valve', u'Anomalous left coronary artery from the pulmonary artery', u'Aortopulmonary window', u'Atrial septal defect', u'Bicuspid aortic valve', u'Chest x-ray', u'Coarctation of the aorta', u'Congenital heart defect corrective surgeries', u'Congenital heart disease', u'Coronary artery fistula', u'Cyanotic heart disease', u'Dextrocardia', u'Double aortic arch', u'Double inlet left ventricle', u'Double outlet right ventricle', u'Ebstein anomaly', u'Eisenmenger syndrome', u'Endocardial cushion defect', u'Heart murmurs and other sounds', u'Hypoplastic left heart syndrome', u'Left heart catheterization', u'Patent ductus arteriosus', u'Patent foramen ovale', u'Pediatric heart surgery', u'Pediatric heart surgery - discharge', u'Pulmonary atresia', u'Pulmonary valve stenosis', u'Tetralogy of Fallot', u'Total anomalous pulmonary venous return', u'Transposition of the great vessels', u'Tricuspid atresia', u'Truncus arteriosus', u'Vascular ring', u'Ventricular septal defect', u'Birth Defects', u'Cardiomyopathy', u'Heart Diseases', u'Heart Health Tests']"
103,Copper Storage Disease,National Institute of Diabetes and Digestive and Kidney Diseases,Genetics/Birth Defects,Wilson Disease,"[u'24-hour urine copper test', u'Ceruloplasmin', u'Wilson disease']"
104,Craniofacial Abnormalities,,Genetics/Birth Defects,Craniofacial Abnormalities,"[u'Coffin Lowry Syndrome', u'Craniosynostosis', u'Craniosynostosis', u'Flat Head Syndrome (Positional Plagiocephaly)', u'Guide to Understanding Apert Syndrome', u'Guide to Understanding Fibrous Dysplasia', u'Guide to Understanding Hemifacial Microsomia', u'Guide to Understanding Microtia', u'Guide to Understanding Pfeiffer Syndrome', u'Holoprosencephaly', u'Learning about Holoprosencephaly (HPE)', u'Noonan Syndrome: Symptoms and Causes', u'Sotos Syndrome', u'Treacher Collins Syndrome', u'Apert syndrome', u'Cleidocranial dysostosis', u'Craniofacial reconstruction  - slideshow', u'Craniosynostosis', u'Craniosynostosis repair', u'Craniosynostosis repair - discharge', u'Head and face reconstruction', u'Increased head circumference', u'Metopic ridge', u'Micrognathia', u'Noonan syndrome', u'Pierre Robin syndrome', u'Prognathism', u'Short philtrum', u'Skull x-ray', u'Sutures - ridged', u'Treacher-Collins syndrome', u'Brain Malformations', u'Cleft Lip and Palate']"
105,Cystic Fibrosis,"National Heart, Lung, and Blood Institute",Genetics/Birth Defects,Cystic Fibrosis,"[u'Cystic fibrosis', u'Cystic fibrosis - nutritional considerations', u'Fecal fat', u'How to breathe when you are short of breath', u'Neonatal cystic fibrosis screening', u'Oxygen safety', u'Postural drainage', u'Secretin stimulation test', u'Sweat electrolytes test', u'Traveling with breathing problems', u'Trypsin and chymotrypsin in stool', u'Trypsinogen test', u'Using oxygen at home', u'Using oxygen at home - what to ask your doctor', u'Lung Transplantation', u'Oxygen Therapy', u'Pulmonary Rehabilitation']"
106,Down Syndrome,National Institute of Child Health and Human Development,Genetics/Birth Defects,Down Syndrome,"[u'Down syndrome', u'Duodenal atresia', u'Karyotyping', u'Nuchal translucency test']"
107,Duchenne Muscular Dystrophy,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Muscular Dystrophy,"[u'Duchenne and Becker Muscular Dystrophies', u'Limb-Girdle Muscular Dystrophy (LGMD)', u'Myotonic Muscular Dystrophy', u'Rare Muscular Dystrophies: Congenital, Distal, Emery-Dreifuss and Oculopharyngeal Muscular Dystrophies', u'What Are the Types of Muscular Dystrophy?', u'Aldolase blood test', u'Becker muscular dystrophy', u'CPK isoenzymes test', u'Creatine phosphokinase test', u'Duchenne muscular dystrophy', u'Facioscapulohumeral muscular dystrophy', u'Lactate dehydrogenase test', u'LDH isoenzyme blood test', u'Limb-girdle muscular dystrophies', u'Muscular dystrophy', u'Myoglobin blood test', u'Myoglobin urine test', u'Swallowing problems']"
108,Ehlers-Danlos Syndrome,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Genetics/Birth Defects,Ehlers-Danlos Syndrome,[]
109,Family History,,Genetics/Birth Defects,Family History,"[u'Creating a family health history', u'Genetic Counseling', u'Genetic Testing', u'Healthy Living', u'Personal Health Records']"
110,FAS,National Institute on Alcohol Abuse and Alcoholism,Genetics/Birth Defects,Fetal Alcohol Spectrum Disorders,"[u'Fetal Alcohol Syndrome', u'Fetal Alcohol Syndrome', u'Fetal alcohol syndrome', u'Alcoholism and Alcohol Abuse', u'Pregnancy and Substance Abuse']"
111,Fragile X Syndrome,National Institute of Child Health and Human Development,Genetics/Birth Defects,Fragile X Syndrome,"[u'Fragile X syndrome', u'Autism Spectrum Disorder', u'Developmental Disabilities']"
112,Gaucher Disease,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Gaucher Disease,[]
113,Genes and Gene Therapy,National Human Genome Research Institute,Genetics/Birth Defects,Genes and Gene Therapy,"[u'Gene Therapy for Diseases and Genetic Disorders', u'Personalized Medicine: Matching Treatments to Your Genes', u'Genes', u'Genetics', u'Genetic Disorders', u'Genetic Testing']"
114,Genetic Counseling,National Human Genome Research Institute,Genetics/Birth Defects,Genetic Counseling,"[u'Genetic Counseling and Evaluation for BRCA1/2 Testing', u'Genetic Counseling for Congenital Heart Defects', u'Genetic counseling', u'Birth Defects', u'Family History', u'Genetic Disorders', u'Genetic Testing', u'Prenatal Testing']"
115,Genetic Disorders,National Institute of Child Health and Human Development,Genetics/Birth Defects,Genetic Disorders,"[u'Chromosomal Conditions', u'Cryopyrin-Associated Autoinflammatory Syndromes (CAPS) - Juvenile', u'Genetics Home Reference', u'Learning about an Undiagosed Condition in an Adult', u'Learning about Poland Anomaly', u'Learning about Progeria', u'Noonan Syndrome: Symptoms and Causes', u'Progeria 101/FAQ', u'Specific Genetic Disorders', u'Triple X Syndrome: Symptoms and Causes', u'Williams Syndrome', u'Alstr\xf6m syndrome', u'Basal cell nevus syndrome', u'Beriberi', u'Cystinuria', u'Genetics', u'Hereditary elliptocytosis', u'Hereditary ovalocytosis', u'Karyotyping', u'Lipase test', u'Mosaicism', u'Multiple lentigines syndrome', u'Noonan syndrome', u'Peutz-Jeghers syndrome', u'Progeria', u'Williams syndrome', u'Birth Defects', u'Brain Malformations', u'Celiac Disease', u'Cleft Lip and Palate', u'Cystic Fibrosis', u'Down Syndrome', u'Dwarfism', u'Fragile X Syndrome', u'Genetic Brain Disorders', u'Genetic Counseling', u'Genetic Testing', u'Hemochromatosis', u'Leukodystrophies', u'Osteogenesis Imperfecta', u'Prader-Willi Syndrome', u'Rare Diseases', u'Sickle Cell Anemia']"
116,Genetic Testing,National Human Genome Research Institute,Genetics/Birth Defects,Genetic Testing,"[u'BRCA1 and BRCA2 Mutations', u'BRCA1 and BRCA2: Cancer Risk and Genetic Testing', u'Genetic Testing for Hereditary Cancer Syndromes', u'Genetic Testing for Hereditary Colorectal Cancer', u'Genetic Testing for Inherited Heart Disease', u'Pharmacogenomic Testing', u'Predictive Testing', u'Prenatal Genetic Diagnostic Tests', u'Prenatal Genetic Screening Tests', u'Prenatal Genetic Testing Chart', u'Tests Related to Pregnancy', u'What Are the Types of Genetic Tests?', u'What Is Carrier Screening?', u'What Is Diagnostic Testing?', u'What Is Genetic Ancestry Testing?', u'BRCA1 and BRCA2 gene testing', u'Buccal smear', u'Genetic testing and your cancer risk', u'Karyotyping', u'Birth Defects', u'Genetic Counseling', u'Genetic Disorders', u'Newborn Screening', u'Prenatal Testing']"
117,Glucose-6-phosphate Dehydrogenase Deficiency,,Genetics/Birth Defects,G6PD Deficiency,[]
118,Hemochromatosis,"National Heart, Lung, and Blood Institute",Genetics/Birth Defects,Hemochromatosis,"[u'What Causes Hemochromatosis?', u'Ferritin blood test', u'Hemochromatosis', u'Serum iron test', u'Synovial biopsy', u'Iron']"
119,Hemoglobin SS Disease,"National Heart, Lung, and Blood Institute",Genetics/Birth Defects,Sickle Cell Anemia,"[u'Hemoglobin electrophoresis', u'Hemoglobinuria test', u'Sickle cell anemia', u'Sickle cell test', u'Total iron binding capacity']"
120,Huntington's Disease,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Huntington's Disease,"[u'Huntington disease', u'Swallowing problems', u'Degenerative Nerve Diseases', u'Movement Disorders']"
121,Hydrocephalus,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Hydrocephalus,"[u'Dandy-Walker Syndrome', u'Normal Pressure Hydrocephalus', u'Brain herniation', u'Brain surgery', u'Brain surgery - discharge', u'Cerebral spinal fluid (CSF) collection', u'Craniotomy  - slideshow', u'Fontanelles - bulging', u'Head CT scan', u'Head MRI', u'Hydrocephalus', u'Normal pressure hydrocephalus (NPH)', u'Radionuclide cisternogram', u'Transillumination', u'Ventriculoperitoneal shunt', u'Ventriculoperitoneal shunt - discharge', u'Ventriculoperitoneal shunt - slideshow', u'Brain Malformations', u'Chiari Malformation']"
122,Klinefelter's Syndrome,National Institute of Child Health and Human Development,Genetics/Birth Defects,Klinefelter's Syndrome,[]
123,Marfan Syndrome,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Genetics/Birth Defects,Marfan Syndrome,"[u'Heart and Blood Vessels in Marfan Syndrome', u'Arachnodactyly', u'Marfan syndrome']"
124,Medicines and Pregnancy,National Institute of Child Health and Human Development,Genetics/Birth Defects,Pregnancy and Medicines,"[u""Allergy Medications and Pregnancy: What's Safe?"", u""Antibiotics and Pregnancy: What's Safe?"", u'Antidepressants: Safe during Pregnancy?', u'Aspirin during Pregnancy: Is It Safe?', u'Asthma Medications and Pregnancy', u'Benzodiazepines and Pregnancy', u'Bisphosphonate Treatment and Pregnancy', u'Bupropion (Wellbutrin) and Pregnancy', u'Carbamazepine (Tegretol) and Pregnancy', u'Ciprofloxacin and Pregnancy', u'Citalopram/Escitalopram (Celexa/Lexapro) and Pregnancy', u'Diethylstilbestrol (DES) and Cancer', u'Diphenhydramine and Pregnancy', u'Docusate Sodium and Pregnancy', u'Etanercept (Enbrel) and Pregnancy', u'Fluconazole and Pregnancy', u'Fluoxetine (Prozac) and Pregnancy', u'Ibuprofen and Pregnancy', u'Inhaled Corticosteroids (ICSs) and Pregnancy', u'Isotretinoin (Accutane) and Pregnancy', u'Isotretinoin and Other Retinoids During Pregnancy', u'Lithium and Pregnancy', u'Loratadine and Pregnancy', u'Metformin and Pregnancy', u'Methotrexate and Pregnancy', u'Metronidazole (Flagyl) and Pregnancy', u'Miconazole/Clotrimazole and Pregnancy', u'Montelukast (Singulair) and Pregnancy', u'New Recommendations for Mefloquine Use in Pregnancy', u'Paroxetine (Paxil) and Pregnancy', u'Phentermine and Pregnancy', u'Prednisone/Prednisolone and Pregnancy', u'Pregnancy Constipation: Are Stool Softeners Safe?', u'Pseudoephedrine, Phenylephrine and Pregnancy', u'Risk of Oral Clefts (Cleft Lip and/or Palate) in Infants Born to Mothers Taking Topamax (Topiramate)', u'Sertraline (Zoloft) and Pregnancy', u'Sulfamethoxazole/Trimethoprim (Bactrim or Septra) and Pregnancy', u'Tetracycline and Pregnancy', u'Thalidomide and Pregnancy', u'Topical Acne Treatments and Pregnancy', u'Trazodone (Desyrel) and Nefazodone (Serzone) and Pregnancy', u'Valproic Acid and Pregnancy', u'Venlafaxine (Effexor) and Pregnancy', u'Women with Epilepsy: Drug Risks and Safety During Pregnancy', u'Birth Defects', u'Fetal Alcohol Spectrum Disorders', u'Medicines', u'Preconception Care', u'Pregnancy and Substance Abuse', u'Reproductive Hazards']"
125,Metabolic Disorders,National Institute of Diabetes and Digestive and Kidney Diseases,Genetics/Birth Defects,Metabolic Disorders,"[u'Learning about Trimethylaminuria', u'Lesch-Nyhan Syndrome', u'Metabolic Diseases of Muscle', u'Mucolipidoses', u'Mucolipidoses', u'What Is a Urea Cycle Disorder?', u'Acidosis', u'Alkalosis', u'Blood gases', u'Crigler-Najjar syndrome', u'Dementia due to metabolic causes', u'Hereditary urea cycle abnormality', u'Homocystinuria', u'Inborn errors of metabolism', u'Lactic acid test', u'Lesch-Nyhan syndrome', u'Metabolic acidosis', u'Metabolic neuropathies', u'Pseudohypoparathyroidism', u'Transient familial hyperbilirubinemia', u'Urine odor', u'Amino Acid Metabolism Disorders', u'Amyloidosis', u'Carbohydrate Metabolism Disorders', u'G6PD Deficiency', u'Gaucher Disease', u'Genetic Brain Disorders', u'Hemochromatosis', u'Lipid Metabolism Disorders', u'Malabsorption Syndromes', u'Mitochondrial Diseases', u'Phenylketonuria', u'Porphyria', u'Rickets', u'Wilson Disease']"
126,Neurofibromatosis,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Neurofibromatosis,"[u'About Neurofibromatosis 1', u'Neurofibromatosis', u'Neurofibromatosis Type 2: Information for Patients and Families', u'Schwannomatosis', u'Segmental NF: A Guide for Patients', u'Vestibular Schwannoma (Acoustic Neuroma) and Neurofibromatosis', u'Neurofibromatosis 2', u'Neurofibromatosis-1', u'Optic glioma']"
127,Newborn Screening,National Institute of Child Health and Human Development,Genetics/Birth Defects,Newborn Screening,"[u""It Is Important to Have Your Baby's Hearing Screened"", u'Newborn Screening Tests for your Baby', u'Purpose of Newborn Hearing Screening', u'Screening for Critical Congenital Heart Disease in Newborns', u'Aminoaciduria', u'Apgar score', u'Hemoglobin electrophoresis', u'Methylmalonic acid blood test', u'Neonatal cystic fibrosis screening', u'Newborn screening tests', u'Plasma amino acids', u'Serum phenylalanine screening', u'TORCH Screen', u'Genetic Testing']"
128,Osteogenesis Imperfecta,National Institute of Arthritis and Musculoskeletal and Skin Diseases,Genetics/Birth Defects,Osteogenesis Imperfecta,"[u'OI Issues: Type I - Understanding the Mildest Form of Osteogenesis Imperfecta', u'Osteogenesis Imperfecta Issues: Constipation', u'Types of OI', u'Osteogenesis imperfecta', u'Bone Diseases', u'Connective Tissue Disorders']"
129,Phenylketonuria,National Institute of Child Health and Human Development,Genetics/Birth Defects,Phenylketonuria,"[u'Phenylketonuria', u'Serum phenylalanine screening', u'Genetic Disorders', u'Newborn Screening']"
130,Prader-Willi Syndrome,National Institute of Child Health and Human Development,Genetics/Birth Defects,Prader-Willi Syndrome,[]
131,Rare Diseases,,Genetics/Birth Defects,Rare Diseases,[]
132,Rett Syndrome,National Institute of Child Health and Human Development,Genetics/Birth Defects,Rett Syndrome,"[u'What Are the Types and Phases of Rett Syndrome?', u'Breath holding spell', u'Rett syndrome', u'Autism Spectrum Disorder', u'Degenerative Nerve Diseases', u'Developmental Disabilities']"
133,SMA,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Spinal Muscular Atrophy,"[u""Kennedy's Disease"", u'Spinal muscular atrophy', u'Swallowing problems', u'Muscular Dystrophy', u'Neuromuscular Disorders']"
134,Tay-Sachs Disease,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Tay-Sachs Disease,"[u'Sandhoff Disease', u'Tay-Sachs disease']"
135,Tourette Syndrome,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Tourette Syndrome,"[u'Chronic motor tic disorder', u'Facial tics', u'Tourette syndrome', u'Transient tic disorder']"
136,TSC,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Tuberous Sclerosis,"[u'Attention Deficit Hyperactivity Disorder and Tuberous Sclerosis Complex', u'Cognitive Challenges', u'Dental Health in TSC', u'Epilepsy in Adults with TSC', u'Eye Involvement in TSC', u'Heart Manifestations in TSC', u'Kidneys in TSC', u'Lung Involvement in TSC', u'Tuberous Sclerosis Syndrome', u'Types of Seizures Affecting Individuals with TSC', u'Tuberous sclerosis']"
137,Turner Syndrome,National Institute of Child Health and Human Development,Genetics/Birth Defects,Turner Syndrome,[u'Turner syndrome']
138,Usher Syndrome,National Eye Institute,Genetics/Birth Defects,Usher Syndrome,[]
139,VHL,National Institute of Neurological Disorders and Stroke,Genetics/Birth Defects,Von Hippel-Lindau Disease,[]
140,ABPA,National Institute of Allergy and Infectious Diseases,Infections,Aspergillosis,"[u'Allergic Bronchopulmonary Aspergillosis (ABPA)', u'Aspergillosis', u'Aspergillosis precipitin', u'Pulmonary aspergilloma', u'Fungal Infections', u'Molds']"
141,Abscess,National Institute of Allergy and Infectious Diseases,Infections,Abscess,"[u'Abscess in the Lungs', u'Anal Abscess/Fistula', u'Folliculitis', u'Peritonsillar Abscess', u'Abscess', u'Abscess scan - radioactive', u'Actinomycosis', u'Amebic liver abscess', u'Anorectal abscess', u'Bartholin cyst or abscess', u'Brain abscess', u'Brain herniation', u'Epidural abscess', u'Intra-abdominal abscess', u'Pancreatic abscess', u'Perirenal abscess', u'Peritonsillar abscess', u'Pilonidal cyst resection', u'Pulmonary aspergilloma', u'Pyogenic liver abscess', u'Retropharyngeal abscess', u'Skin abscess', u'Skin lesion aspiration', u'Spinal cord abscess', u'Subareolar abscess', u'Tooth abscess', u'WBC scan', u'Infectious Diseases']"
142,Acquired Immunodeficiency Syndrome,National Institute of Allergy and Infectious Diseases,Infections,HIV/AIDS,"[u'Stages of HIV Infection', u'AIDS', u'Asymptomatic HIV infection', u'B and T cell screen', u'Bloodborne pathogens', u'ELISA/Western blot tests for HIV', u'T-cell count', u'HIV/AIDS and Infections', u'HIV/AIDS and Pregnancy', u'HIV/AIDS in Women', u'HIV/AIDS Medicines', u""Kaposi's Sarcoma"", u'Living with HIV/AIDS']"
143,Acute Bronchitis,"National Heart, Lung, and Blood Institute",Infections,Acute Bronchitis,"[u'Blood gases', u'Bronchiolitis', u'Bronchitis - acute', u'Chest x-ray', u'Industrial bronchitis', u'Oxygen safety', u'Postural drainage', u'Routine sputum culture', u'Common Cold', u'Respiratory Syncytial Virus Infections']"
144,Adenovirus Infections,National Institute of Allergy and Infectious Diseases,Infections,Viral Infections,"[u'About Human Parainfluenza Viruses (HPIVs)', u'Acute Flaccid Myelitis', u'Adenoviruses', u'Croup: MedlinePlus Health Topic', u'Enterovirus D68', u'Hand, Foot and Mouth Disease', u'Hand, Foot, and Mouth Disease (HFMD)', u'Molluscum Contagiosum', u'Non-Polio Enterovirus', u'Tropical Spastic Paraparesis', u'What Is Enterovirus D68?', u'ECHO virus', u'ELISA', u'Enterovirus D68', u'Hand-foot-mouth disease', u'Herpangina', u'Lymph node culture', u'Molluscum contagiosum', u'Parainfluenza', u'Roseola', u'Subacute thyroiditis', u'Chickenpox', u'Chikungunya', u'Common Cold', u'Coronavirus Infections', u'Croup', u'Cytomegalovirus Infections', u'Dengue', u'Ebola', u'Fifth Disease', u'Flu', u'Hantavirus Infections', u'Hemorrhagic Fevers', u'Hepatitis C', u'Herpes Simplex', u'HIV/AIDS', u'HPV', u'Immunization', u'Infectious Mononucleosis', u'Measles', u'Monkeypox Virus Infections', u'Mumps', u'Norovirus Infections', u'Polio and Post-Polio Syndrome', u'Rabies', u'Respiratory Syncytial Virus Infections', u'Rotavirus Infections', u'Rubella', u'Shingles', u'Warts', u'West Nile Virus', u'Zika Virus']"
145,Adult Immunization,,Infections,Immunization,"[u'Antibody titer', u'Immunizations - diabetes', u'Vaccines', u'Childhood Immunization', u'Flu Shot', u'Tetanus, Diphtheria, and Pertussis Vaccines']"
